team1,team2,team1_toss_win,team1_powerplay_score,team2_powerplay_score,venue,team1_win
13,10,0.0,117.0,90.0,22,1.0
8,11,0.0,121.0,101.0,16,0.0
4,5,0.0,107.0,75.0,24,0.0
11,7,0.0,97.0,96.0,11,0.0
10,2,1.0,75.0,67.0,14,1.0
4,13,0.0,74.0,62.0,22,0.0
5,8,0.0,119.0,116.0,33,0.0
10,7,1.0,100.0,57.0,11,0.0
2,11,0.0,140.0,46.0,16,1.0
13,8,0.0,74.0,89.0,33,0.0
7,5,0.0,104.0,83.0,7,0.0
10,8,0.0,72.0,83.0,14,0.0
11,4,0.0,111.0,95.0,24,0.0
5,13,0.0,88.0,96.0,7,1.0
2,7,1.0,119.0,80.0,8,1.0
4,8,0.0,102.0,105.0,33,0.0
11,10,0.0,102.0,86.0,14,1.0
2,5,1.0,109.0,78.0,8,0.0
13,7,0.0,88.0,102.0,22,1.0
10,4,0.0,114.0,106.0,24,1.0
13,2,1.0,95.0,112.0,22,1.0
7,8,0.0,126.0,97.0,11,0.0
5,4,0.0,112.0,117.0,7,0.0
8,2,0.0,95.0,66.0,33,1.0
13,11,0.0,113.0,115.0,16,0.0
7,4,0.0,96.0,99.0,24,1.0
5,10,0.0,87.0,28.0,7,1.0
11,8,0.0,86.0,87.0,33,1.0
11,5,0.0,110.0,75.0,16,0.0
10,4,0.0,55.0,38.0,14,0.0
2,5,0.0,85.0,59.0,7,0.0
13,7,0.0,114.0,102.0,21,1.0
11,10,0.0,79.0,63.0,16,1.0
4,8,1.0,111.0,107.0,24,0.0
2,7,0.0,30.0,39.0,21,0.0
13,5,0.0,130.0,79.0,22,1.0
10,8,1.0,91.0,108.0,33,0.0
4,11,0.0,79.0,114.0,16,0.0
13,2,0.0,128.0,98.0,8,0.0
5,11,0.0,79.0,86.0,7,0.0
4,2,0.0,96.0,95.0,8,0.0
7,10,0.0,88.0,68.0,14,1.0
11,13,0.0,74.0,73.0,22,1.0
8,2,0.0,114.0,31.0,8,1.0
10,5,0.0,96.0,88.0,14,0.0
7,4,0.0,104.0,104.0,21,0.0
8,13,1.0,72.0,68.0,22,0.0
7,5,0.0,101.0,96.0,21,1.0
4,2,0.0,108.0,123.0,9,0.0
7,8,0.0,129.0,138.0,33,1.0
2,11,1.0,91.0,91.0,8,1.0
4,13,0.0,79.0,74.0,9,0.0
8,5,0.0,107.0,85.0,7,1.0
7,11,0.0,33.0,36.0,16,0.0
10,2,1.0,90.0,90.0,8,1.0
11,8,0.0,97.0,85.0,33,1.0
13,5,0.0,70.0,46.0,14,0.0
5,8,0.0,49.0,38.0,14,0.0
8,11,1.0,66.0,83.0,22,1.0
5,10,0.0,152.0,29.0,14,1.0
0,7,1.0,139.0,102.0,21,1.0
12,2,1.0,79.0,65.0,8,0.0
8,10,1.0,107.0,94.0,33,0.0
1,5,1.0,68.0,58.0,7,0.0
7,12,1.0,92.0,89.0,25,0.0
1,2,1.0,97.0,37.0,22,0.0
0,8,0.0,111.0,122.0,15,1.0
1,12,0.0,133.0,135.0,22,0.0
7,8,0.0,103.0,52.0,21,1.0
10,12,0.0,87.0,60.0,14,0.0
5,0,1.0,105.0,80.0,15,0.0
8,1,0.0,92.0,47.0,4,0.0
2,7,1.0,100.0,86.0,21,0.0
0,10,1.0,109.0,70.0,14,1.0
5,8,1.0,98.0,65.0,7,0.0
2,10,0.0,106.0,99.0,8,1.0
1,7,0.0,104.0,94.0,22,0.0
12,5,1.0,103.0,75.0,25,1.0
0,2,1.0,87.0,92.0,15,0.0
1,10,1.0,82.0,104.0,22,0.0
7,5,1.0,111.0,113.0,21,1.0
8,2,0.0,87.0,53.0,4,1.0
0,12,1.0,52.0,36.0,25,0.0
10,7,0.0,61.0,68.0,14,0.0
0,1,0.0,91.0,66.0,15,0.0
12,8,0.0,39.0,42.0,4,0.0
2,0,0.0,113.0,92.0,8,0.0
5,10,1.0,64.0,60.0,7,1.0
1,12,0.0,81.0,60.0,25,0.0
10,8,0.0,72.0,52.0,14,0.0
0,7,0.0,87.0,87.0,15,1.0
5,1,1.0,129.0,101.0,22,1.0
2,12,0.0,101.0,69.0,25,0.0
10,7,1.0,82.0,54.0,21,0.0
5,2,1.0,70.0,51.0,7,1.0
0,8,0.0,96.0,57.0,33,0.0
7,12,0.0,127.0,77.0,21,1.0
2,1,0.0,104.0,123.0,8,1.0
5,8,0.0,24.0,53.0,33,0.0
2,7,1.0,46.0,56.0,8,0.0
12,10,0.0,114.0,77.0,25,1.0
8,1,0.0,122.0,84.0,22,1.0
5,0,1.0,85.0,36.0,7,0.0
10,2,0.0,92.0,95.0,14,0.0
5,12,0.0,78.0,79.0,7,0.0
7,8,0.0,94.0,110.0,33,1.0
10,0,1.0,83.0,67.0,15,1.0
1,7,0.0,105.0,118.0,21,0.0
8,2,0.0,105.0,109.0,8,0.0
12,0,1.0,113.0,112.0,15,1.0
10,1,0.0,85.0,79.0,14,1.0
7,5,1.0,90.0,124.0,7,0.0
8,12,0.0,81.0,93.0,25,0.0
1,0,1.0,80.0,81.0,22,0.0
12,2,0.0,105.0,32.0,33,1.0
7,0,1.0,79.0,46.0,33,0.0
0,12,0.0,93.0,93.0,4,0.0
8,0,0.0,99.0,85.0,19,1.0
10,12,1.0,73.0,17.0,19,1.0
7,2,0.0,52.0,58.0,19,0.0
5,1,1.0,57.0,35.0,19,0.0
0,10,1.0,106.0,49.0,29,1.0
7,5,0.0,90.0,47.0,13,0.0
1,10,1.0,101.0,87.0,19,1.0
2,0,1.0,121.0,97.0,13,1.0
12,5,0.0,111.0,99.0,19,1.0
10,7,1.0,110.0,109.0,13,0.0
1,8,1.0,81.0,95.0,13,1.0
10,2,1.0,90.0,100.0,29,0.0
7,12,1.0,81.0,64.0,19,1.0
0,1,0.0,114.0,120.0,13,0.0
8,5,1.0,85.0,46.0,29,1.0
2,12,1.0,81.0,86.0,31,0.0
5,10,1.0,94.0,94.0,13,0.0
7,8,1.0,62.0,56.0,13,1.0
1,2,0.0,66.0,87.0,31,0.0
0,12,0.0,94.0,63.0,31,1.0
8,5,1.0,96.0,72.0,2,1.0
10,7,1.0,84.0,74.0,13,1.0
1,12,1.0,87.0,69.0,29,0.0
0,2,0.0,77.0,72.0,18,1.0
5,7,1.0,98.0,89.0,29,0.0
8,10,1.0,89.0,94.0,18,0.0
0,1,1.0,112.0,35.0,2,1.0
12,7,0.0,127.0,65.0,13,1.0
5,2,1.0,104.0,101.0,13,0.0
1,8,1.0,88.0,56.0,31,1.0
10,12,0.0,56.0,41.0,31,0.0
0,7,1.0,109.0,77.0,31,1.0
8,2,1.0,78.0,82.0,2,0.0
1,7,0.0,123.0,96.0,3,0.0
12,0,1.0,73.0,79.0,3,0.0
8,10,1.0,107.0,80.0,29,1.0
5,2,0.0,77.0,76.0,18,0.0
1,12,1.0,103.0,52.0,3,1.0
5,10,0.0,103.0,102.0,31,0.0
7,8,1.0,75.0,48.0,31,0.0
2,1,0.0,102.0,77.0,13,1.0
0,10,1.0,70.0,77.0,13,0.0
12,8,1.0,72.0,86.0,13,1.0
2,7,0.0,62.0,81.0,20,0.0
8,0,1.0,94.0,93.0,29,0.0
5,1,0.0,111.0,108.0,18,0.0
7,1,0.0,89.0,92.0,18,1.0
2,12,1.0,87.0,69.0,20,1.0
0,5,1.0,109.0,99.0,31,0.0
2,10,1.0,81.0,66.0,18,0.0
12,5,0.0,67.0,62.0,13,0.0
0,7,1.0,71.0,64.0,13,1.0
8,2,0.0,88.0,69.0,31,0.0
10,1,1.0,95.0,87.0,31,1.0
2,1,0.0,90.0,76.0,31,0.0
0,10,0.0,88.0,98.0,18,0.0
1,10,0.0,85.0,71.0,18,1.0
5,1,0.0,111.0,90.0,4,1.0
8,12,1.0,124.0,108.0,1,1.0
7,2,0.0,71.0,75.0,21,0.0
10,5,0.0,68.0,76.0,7,0.0
1,0,1.0,130.0,91.0,15,1.0
12,2,0.0,102.0,63.0,23,0.0
7,10,1.0,109.0,104.0,14,0.0
0,5,1.0,105.0,59.0,7,1.0
8,2,0.0,123.0,52.0,8,1.0
12,10,0.0,44.0,52.0,14,0.0
2,0,1.0,108.0,97.0,8,0.0
1,7,0.0,104.0,102.0,0,1.0
12,5,1.0,93.0,76.0,23,1.0
8,10,1.0,97.0,80.0,1,0.0
1,2,1.0,107.0,97.0,0,1.0
7,0,0.0,84.0,75.0,15,1.0
5,8,1.0,96.0,90.0,1,0.0
10,0,0.0,101.0,68.0,14,1.0
12,7,0.0,109.0,89.0,21,1.0
0,8,0.0,98.0,105.0,1,0.0
1,12,1.0,85.0,67.0,23,0.0
5,7,1.0,104.0,78.0,21,1.0
2,10,0.0,125.0,91.0,14,1.0
12,0,1.0,101.0,105.0,23,1.0
8,1,0.0,117.0,65.0,4,1.0
2,5,1.0,105.0,78.0,8,1.0
7,8,0.0,93.0,96.0,1,0.0
10,0,1.0,79.0,91.0,15,0.0
2,12,1.0,122.0,55.0,8,1.0
5,1,1.0,115.0,82.0,7,1.0
7,10,1.0,112.0,114.0,21,0.0
0,12,1.0,145.0,118.0,15,1.0
8,1,1.0,121.0,61.0,1,1.0
5,7,1.0,113.0,107.0,7,0.0
2,10,1.0,110.0,78.0,8,1.0
12,1,1.0,74.0,92.0,32,1.0
0,8,1.0,81.0,90.0,15,1.0
7,12,1.0,78.0,79.0,25,0.0
5,2,1.0,104.0,81.0,7,1.0
10,1,0.0,131.0,104.0,14,0.0
8,7,1.0,102.0,92.0,21,0.0
0,1,1.0,78.0,84.0,32,0.0
5,10,0.0,90.0,85.0,14,0.0
2,7,1.0,76.0,59.0,8,0.0
8,12,0.0,114.0,70.0,25,1.0
1,10,0.0,77.0,74.0,32,1.0
8,2,1.0,119.0,96.0,1,1.0
5,0,1.0,71.0,60.0,15,0.0
12,10,1.0,77.0,51.0,25,0.0
0,2,1.0,75.0,63.0,15,0.0
7,1,0.0,116.0,92.0,10,0.0
8,10,0.0,104.0,74.0,14,1.0
12,5,1.0,63.0,64.0,7,0.0
7,0,0.0,114.0,109.0,10,0.0
1,2,1.0,65.0,88.0,8,1.0
8,5,1.0,81.0,76.0,7,0.0
8,10,1.0,120.0,81.0,4,1.0
0,1,1.0,87.0,59.0,4,1.0
1,10,1.0,30.0,26.0,4,0.0
0,8,1.0,106.0,72.0,4,1.0
0,5,1.0,87.0,94.0,15,1.0
1,12,0.0,95.0,86.0,22,0.0
6,10,1.0,87.0,103.0,17,0.0
2,8,1.0,41.0,44.0,8,0.0
7,9,1.0,77.0,32.0,4,0.0
5,1,1.0,94.0,89.0,7,1.0
2,12,1.0,105.0,78.0,25,0.0
10,8,0.0,78.0,68.0,14,0.0
0,7,0.0,102.0,106.0,21,0.0
6,9,1.0,73.0,82.0,4,0.0
1,10,0.0,97.0,86.0,22,1.0
12,5,0.0,93.0,86.0,25,0.0
8,6,0.0,104.0,87.0,33,0.0
0,10,1.0,104.0,85.0,15,1.0
1,7,0.0,97.0,89.0,22,0.0
9,2,0.0,110.0,122.0,4,0.0
12,5,0.0,30.0,23.0,7,0.0
0,6,0.0,56.0,51.0,17,0.0
1,2,1.0,78.0,86.0,8,1.0
9,8,1.0,44.0,68.0,33,0.0
6,5,0.0,80.0,77.0,7,1.0
7,12,0.0,115.0,83.0,21,1.0
8,0,0.0,99.0,84.0,33,1.0
5,10,0.0,111.0,84.0,7,0.0
2,7,0.0,119.0,98.0,8,1.0
8,1,0.0,122.0,79.0,22,1.0
6,12,0.0,59.0,37.0,25,0.0
0,9,0.0,88.0,72.0,15,1.0
2,10,0.0,89.0,113.0,8,0.0
9,0,1.0,84.0,63.0,4,0.0
1,6,0.0,65.0,31.0,17,1.0
5,2,0.0,85.0,88.0,8,1.0
8,12,0.0,60.0,47.0,25,0.0
10,9,0.0,117.0,89.0,14,1.0
2,6,1.0,109.0,68.0,17,1.0
7,5,0.0,74.0,65.0,7,0.0
9,12,0.0,83.0,81.0,25,0.0
0,1,1.0,103.0,88.0,15,1.0
8,7,0.0,78.0,65.0,33,1.0
2,6,0.0,85.0,75.0,8,0.0
5,1,0.0,107.0,91.0,22,1.0
12,0,1.0,77.0,74.0,15,0.0
8,9,0.0,99.0,82.0,4,1.0
6,5,0.0,93.0,82.0,17,1.0
1,2,0.0,100.0,74.0,22,0.0
10,7,0.0,103.0,75.0,14,1.0
0,5,1.0,60.0,31.0,7,0.0
8,2,0.0,117.0,64.0,33,1.0
6,10,1.0,77.0,72.0,14,0.0
7,9,1.0,59.0,60.0,21,0.0
0,12,0.0,118.0,66.0,25,1.0
1,9,1.0,77.0,74.0,22,0.0
7,8,0.0,74.0,28.0,21,1.0
12,10,0.0,72.0,86.0,25,0.0
0,2,1.0,117.0,107.0,15,1.0
6,7,0.0,100.0,74.0,11,0.0
5,10,0.0,26.0,58.0,14,0.0
1,8,1.0,82.0,80.0,33,1.0
7,2,0.0,80.0,75.0,10,1.0
12,6,0.0,37.0,73.0,11,0.0
9,1,0.0,86.0,82.0,4,0.0
7,10,1.0,118.0,53.0,10,1.0
0,6,1.0,86.0,85.0,15,1.0
9,5,0.0,64.0,56.0,4,0.0
8,12,1.0,68.0,37.0,33,0.0
1,7,0.0,111.0,59.0,10,1.0
0,10,0.0,77.0,67.0,14,0.0
5,8,0.0,106.0,112.0,7,0.0
10,0,0.0,109.0,102.0,33,0.0
5,8,0.0,79.0,85.0,33,0.0
10,8,0.0,107.0,91.0,15,1.0
0,10,1.0,110.0,90.0,15,1.0
0,8,0.0,56.0,56.0,15,0.0
5,2,0.0,34.0,39.0,7,0.0
9,8,0.0,75.0,54.0,33,1.0
12,7,0.0,121.0,88.0,25,1.0
10,2,0.0,96.0,92.0,14,1.0
0,1,0.0,116.0,55.0,5,1.0
12,5,0.0,88.0,79.0,25,1.0
9,7,1.0,101.0,73.0,30,1.0
1,8,1.0,79.0,74.0,5,0.0
5,10,0.0,86.0,67.0,14,1.0
0,2,0.0,67.0,44.0,8,0.0
8,12,0.0,113.0,71.0,33,1.0
10,0,1.0,121.0,113.0,15,0.0
9,7,0.0,53.0,66.0,21,0.0
12,5,1.0,84.0,71.0,7,0.0
1,2,1.0,79.0,76.0,8,0.0
0,9,1.0,88.0,104.0,30,0.0
7,5,0.0,73.0,88.0,7,1.0
12,10,1.0,123.0,77.0,14,1.0
8,2,0.0,33.0,40.0,33,0.0
1,12,1.0,135.0,124.0,25,0.0
9,10,1.0,101.0,114.0,14,0.0
7,5,1.0,72.0,77.0,21,0.0
1,2,1.0,103.0,83.0,22,0.0
0,9,0.0,92.0,86.0,15,1.0
7,10,0.0,96.0,78.0,21,0.0
12,0,1.0,97.0,94.0,15,0.0
9,2,0.0,108.0,76.0,8,1.0
8,7,1.0,83.0,103.0,33,0.0
1,5,0.0,66.0,69.0,0,0.0
10,12,0.0,117.0,85.0,25,1.0
9,2,1.0,83.0,64.0,30,0.0
7,8,1.0,112.0,103.0,21,0.0
1,9,1.0,114.0,107.0,30,1.0
2,8,0.0,111.0,82.0,8,1.0
7,0,1.0,81.0,99.0,15,1.0
5,10,1.0,109.0,90.0,7,1.0
2,12,1.0,85.0,81.0,8,1.0
1,8,0.0,62.0,53.0,33,0.0
0,5,1.0,79.0,79.0,15,0.0
1,9,1.0,121.0,94.0,0,1.0
12,2,1.0,92.0,67.0,25,0.0
10,7,0.0,66.0,85.0,14,0.0
8,9,1.0,59.0,77.0,30,1.0
0,1,1.0,89.0,98.0,15,1.0
5,9,1.0,84.0,88.0,7,1.0
12,7,1.0,103.0,72.0,21,1.0
0,8,0.0,105.0,96.0,33,0.0
1,10,0.0,115.0,114.0,14,0.0
2,5,1.0,96.0,86.0,8,0.0
9,12,1.0,66.0,61.0,30,0.0
7,1,0.0,95.0,84.0,22,1.0
8,10,0.0,68.0,72.0,33,0.0
12,0,0.0,73.0,88.0,25,0.0
10,9,0.0,99.0,74.0,30,1.0
8,5,1.0,112.0,76.0,7,1.0
2,0,0.0,64.0,52.0,15,0.0
12,9,1.0,86.0,62.0,25,1.0
1,7,1.0,110.0,113.0,21,0.0
10,8,0.0,106.0,106.0,14,0.0
5,0,0.0,92.0,94.0,7,0.0
7,2,1.0,78.0,81.0,8,0.0
5,8,0.0,74.0,51.0,33,1.0
0,7,0.0,73.0,65.0,10,0.0
10,2,0.0,126.0,99.0,8,1.0
12,1,1.0,72.0,78.0,22,0.0
7,2,0.0,82.0,62.0,10,0.0
5,9,1.0,67.0,61.0,30,1.0
